Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA_Fast,MA_Slow,Signal,Crossover
2025-09-24 00:00:00+05:30,1308.199951171875,1313.0,1275.5,1278.5999755859375,270416,0.0,0.0,1311.4629607252587,1311.5663722738082,-1,-2.0
2025-09-25 00:00:00+05:30,1280.0,1283.5999755859375,1259.5,1263.5999755859375,275145,0.0,0.0,1302.7605997908365,1306.9981440178203,-1,0.0
2025-09-26 00:00:00+05:30,1263.0,1267.300048828125,1234.0,1237.699951171875,200900,0.0,0.0,1290.9313909510254,1300.3983161277304,-1,0.0
2025-09-29 00:00:00+05:30,1248.0,1263.9000244140625,1236.9000244140625,1259.5999755859375,157530,0.0,0.0,1285.2347699755546,1296.512759885655,-1,0.0
2025-09-30 00:00:00+05:30,1259.0999755859375,1297.0,1254.800048828125,1295.0999755859375,362086,0.0,0.0,1287.0284437228968,1296.3782089999675,-1,0.0
2025-10-01 00:00:00+05:30,1305.0,1310.0,1272.4000244140625,1277.0,246641,0.0,0.0,1285.2050903187337,1294.532665285685,-1,0.0
2025-10-03 00:00:00+05:30,1281.0,1289.4000244140625,1273.0,1281.300048828125,284310,0.0,0.0,1284.4950827749865,1293.2724160992507,-1,0.0
2025-10-06 00:00:00+05:30,1285.699951171875,1295.5,1278.0999755859375,1283.199951171875,251145,0.0,0.0,1284.2596043016933,1292.3131337252148,-1,0.0
2025-10-07 00:00:00+05:30,1284.4000244140625,1333.699951171875,1284.4000244140625,1313.5999755859375,797209,0.0,0.0,1289.594217262465,1294.3404519976646,-1,0.0
2025-10-08 00:00:00+05:30,1324.9000244140625,1335.4000244140625,1276.699951171875,1279.0,364459,0.0,0.0,1287.6679959420167,1292.8794565693156,-1,0.0
2025-10-09 00:00:00+05:30,1285.0,1297.5,1274.0,1291.0,212349,0.0,0.0,1288.27381486165,1292.7004607055712,-1,0.0
2025-10-10 00:00:00+05:30,1285.0,1302.0,1285.0,1294.9000244140625,164492,0.0,0.0,1289.4785802348158,1292.9099429635228,-1,0.0
2025-10-13 00:00:00+05:30,1301.0,1303.699951171875,1277.9000244140625,1294.5999755859375,310392,0.0,0.0,1290.4097430259287,1293.0708984513717,-1,0.0
2025-10-14 00:00:00+05:30,1300.800048828125,1321.0,1287.0,1308.4000244140625,435728,0.0,0.0,1293.6807032783165,1294.5308152097234,-1,0.0
2025-10-15 00:00:00+05:30,1308.800048828125,1315.0,1299.0,1310.699951171875,241121,0.0,0.0,1296.7751119862362,1296.0707329204047,1,2.0
2025-10-16 00:00:00+05:30,1320.0,1329.0,1293.199951171875,1298.0,303655,0.0,0.0,1296.9978188978296,1296.254472642271,1,0.0
2025-10-17 00:00:00+05:30,1306.5,1306.5,1280.0,1282.300048828125,247857,0.0,0.0,1294.325497066974,1294.9254798980664,-1,-2.0
2025-10-20 00:00:00+05:30,1282.0,1293.199951171875,1273.699951171875,1282.699951171875,164481,0.0,0.0,1292.2117614496833,1293.7611438289052,-1,0.0
2025-10-21 00:00:00+05:30,1283.5,1294.199951171875,1283.5,1290.0999755859375,28125,0.0,0.0,1291.8278003835478,1293.412461139099,-1,0.0
